Date,Open,High,Low,Close,Volume
2024-09-30,79.0700,80.3600,78.5000,80.1400,4464743
2024-09-27,80.8200,81.1500,79.1900,79.2100,3973550
2024-09-26,80.4400,81.0900,78.7700,80.7500,5729728
2024-09-25,80.1300,80.9100,79.0100,79.2600,5021866
2024-09-24,80.7700,81.0700,78.7800,80.3300,5398248
2024-09-23,79.0000,80.8000,78.8500,80.1100,7896241
2024-09-20,78.6100,79.5200,77.3100,78.7200,5612851
2024-09-19,77.4000,79.3100,76.6400,78.6800,9864276
2024-09-18,74.8300,76.9700,74.5900,75.2200,7039412
2024-09-17,75.5000,75.7600,73.6600,74.4500,8177379
2024-09-16,72.1000,73.7000,71.4700,73.5800,4184662
2024-09-13,71.8300,73.4400,71.7600,72.4500,5655578
2024-09-12,70.7200,71.9800,69.6300,71.3100,6187657
2024-09-11,68.5500,71.7600,68.1000,71.5200,7063324
2024-09-10,68.7900,68.9000,66.9500,68.1700,4530328
2024-09-09,68.4800,69.4900,67.1400,68.1300,4298599
2024-09-06,70.3800,70.5588,65.8600,67.0100,7380375
2024-09-05,70.0000,70.9300,69.3050,70.1100,3296182
2024-09-04,70.8600,71.7500,69.6200,70.2200,4510018
2024-09-03,73.1500,73.2200,70.8200,71.2600,5773632
2024-08-30,73.5500,74.3300,73.1200,74.0700,3019334
2024-08-29,72.9000,74.3400,72.8700,73.2700,3620083
2024-08-28,74.2300,74.3700,71.7600,72.5300,5551651
2024-08-27,74.4700,74.8700,72.8600,74.5300,4389771
2024-08-26,76.1100,76.8300,74.9200,74.9500,4047032
2024-08-23,75.0000,76.4400,74.6900,76.1400,5405570
2024-08-22,76.0400,76.3000,74.2300,74.3000,4772884
2024-08-21,75.0000,76.2000,74.8700,76.1400,5760476
2024-08-20,75.0000,75.6800,74.1601,74.8700,8513028
2024-08-19,74.5500,75.1700,73.9200,75.1600,6246672
2024-08-16,74.3300,75.3550,74.1050,74.5500,5403596
2024-08-15,73.0200,74.9100,73.0100,74.8500,10849740
2024-08-14,70.3400,71.7600,69.9400,71.5900,9032343
2024-08-13,68.8400,70.0700,68.6800,69.9000,10545520
2024-08-12,69.0900,70.7329,68.0500,68.3100,11134021
2024-08-09,68.1600,69.3250,67.4150,69.3000,10931244
2024-08-08,64.2400,68.7800,63.9100,68.5500,19891535
2024-08-07,64.5000,67.7800,63.5500,63.8900,49976634
2024-08-06,53.1400,54.8900,52.3400,54.2200,18567199
2024-08-05,48.5859,53.3600,48.5600,52.2600,16525151
2024-08-02,54.6100,55.1800,52.5450,54.4300,18357852
2024-08-01,61.6000,62.0000,57.2500,58.1700,9598272
2024-07-31,60.3200,61.8800,60.1300,61.2000,8649437
2024-07-30,59.8300,61.0200,58.9300,59.2000,6669821
2024-07-29,60.1500,60.5700,59.5200,59.8700,5046001
2024-07-26,61.4200,61.5200,59.8100,59.9400,5256449
2024-07-25,59.2700,60.9750,58.0400,59.4400,6873349
2024-07-24,62.1000,62.5200,59.1600,59.2700,8255632
2024-07-23,63.0000,63.6400,62.6500,62.6600,5392678
2024-07-22,63.4600,63.7800,61.4400,62.6900,9143762
2024-07-19,62.5100,64.1800,62.4500,63.1600,6686108
2024-07-18,65.9000,66.0900,62.7200,63.1100,7904809
2024-07-17,68.1700,68.4000,63.7000,64.8100,14176029
2024-07-16,67.2600,70.0400,66.8300,69.7200,21416782
